16 stops, 50 students, 40.000 maximum walk, 50 capacity

0	50.000	50.000
1	41.012	51.254
2	43.610	55.411
3	58.175	59.405
4	44.760	44.002
5	52.868	56.237
6	47.465	56.911
7	55.407	51.217
8	41.986	56.168
9	57.141	45.152
10	52.319	43.113
11	59.513	41.889
12	48.157	48.123
13	54.702	59.876
14	56.803	49.242
15	42.254	48.072


1	34.016	36.980
2	25.846	69.871
3	54.992	56.230
4	58.744	67.731
5	43.714	38.278
6	33.218	50.637
7	31.757	83.053
8	34.683	61.319
9	32.853	81.473
10	41.154	27.390
11	62.587	59.543
12	60.734	55.239
13	57.598	59.552
14	78.343	51.110
15	62.238	55.185
16	35.592	44.177
17	53.279	32.164
18	46.535	45.260
19	44.862	 7.608
20	23.198	31.496
21	34.664	31.958
22	52.988	72.226
23	27.877	80.736
24	42.034	71.340
25	21.701	42.183
26	37.964	52.510
27	79.732	52.577
28	71.734	28.966
29	17.399	43.075
30	39.018	64.481
31	34.068	59.615
32	30.990	74.744
33	53.776	50.653
34	55.964	31.186
35	39.100	36.132
36	36.555	57.062
37	39.043	57.701
38	37.111	48.752
39	14.422	79.546
40	68.057	49.738
41	56.536	37.809
42	62.255	40.876
43	58.182	42.581
44	87.045	34.649
45	40.876	37.196
46	63.311	 6.498
47	52.551	42.949
48	49.365	 8.471
49	49.407	37.483
50	63.359	47.005
